"Частота, Гц","Дистанция, мм",Количество точек,"Центр мишени (X), мм","Центр мишени (Y), мм"
1,1000,24,998.0600385660335,16.811590326986387
1,1000,24,998.137112941352,16.88866470230485
1,1000,24,997.1474038269664,15.89895558791927
1,1000,24,1000.1684721087034,18.920023869656237
1,1000,24,997.3860095869711,16.13756134792401
1,1000,24,998.7493964248794,17.500948185832232
1,1000,24,996.1335248716322,14.885076632584994
1,1000,24,999.8273243063799,18.57887606733271
1,1000,24,996.1744899263451,14.926041687297985
1,1000,24,998.8990873634275,17.650639124380366
1,1000,24,996.8452422943967,15.596794055349505
1,1000,24,998.7100363795317,17.461588140484615
1,1000,24,998.2618056405167,8.571023657016571
1,1000,24,1000.4355493278833,10.744767344383167
1,1000,24,996.7873718880502,7.0965899045499885
1,1000,24,999.7082429747027,10.017460991202551
1,1000,24,996.4738881002708,6.783106116770552
1,1000,24,999.7805523346283,10.08977035112813
1,1000,24,996.6134288577376,6.922646874237508
1,1000,24,998.9922212682732,9.301439284773053
1,1000,24,997.4460745526246,7.755292569124507
1,1000,24,1000.5935654899899,10.902783506489815
1,1000,24,997.6288325364953,7.938050552995136
1,1000,24,999.9633839986295,10.272602015129351
1,1000,24,996.8103137718717,7.1195317883716
1,1000,24,1000.4605109655815,10.76972898208142
1,1000,24,998.8391654125172,17.86698806332649
1,1000,24,999.6494228723901,18.67724552319941
1,1000,24,996.5719738970945,15.599796547903766
1,1000,24,999.7830832619313,18.81090591274055
1,1000,24,997.2232881810089,16.251110831818178
1,1000,24,999.3946179693522,18.422440620161538
1,1000,24,996.7254784768683,15.753301127677554
1,1000,24,999.8773948371035,18.90521748791278
1,1000,24,997.4519115844349,16.479734235244223
1,1000,24,999.8326346076971,18.86045725850633
1,1000,24,997.9105123402265,16.938334991035834
1,1000,24,1000.2422286150536,19.27005126586291
1,1000,24,997.363223195111,16.391045845920278
1,1000,24,1000.6194517486492,19.647274399458514
1,1000,23,997.5809698318654,10.53246447984185
1,1000,23,999.1110417937357,12.06253644171208
1,1000,23,996.4625675452063,9.414062193182692
1,1000,23,998.6372593266356,11.588753974611947
1,1000,23,996.8450443742087,9.796539022185067
1,1000,23,998.940160599389,11.89165524736539
1,1000,23,997.2290825003754,10.180577148351771
1,1000,23,999.4904983121895,12.441992960165967
1,1000,23,995.8163844794509,8.767879127427308
1,1000,23,998.5991950278012,11.550689675777665
1,1000,23,996.3307556925761,9.282250340552457
1,1000,23,997.8791970927957,10.830691740772071
1,1000,23,998.0378462047935,6.568422154564296
1,1000,23,1000.0146134047866,8.545189354557388
1,1000,23,996.9077959959353,5.438371945706078
1,1000,23,998.7442703109476,7.2748462607184265
1,1000,23,997.6387200055169,6.169295955287734
1,1000,23,1000.256413036139,8.786988985909808
1,1000,23,997.1838741757264,5.714450125497219
1,1000,23,999.0596612510383,7.590237200809058
1,1000,23,997.8429933280432,6.373569277814069
1,1000,23,999.1666509541566,7.697226903927417
1,1000,23,995.651911974148,6.882010390853256
1,1000,23,996.1234223680359,7.353520784741159
1,1000,23,994.0099393348394,5.240037751544607
1,1000,23,995.9802177465946,7.210316163299858
1,1000,23,994.5295820305242,5.759680447229552
1,1000,23,997.3638215363195,8.59391995302473
1,1000,23,995.0058528740902,6.2359512907955015
1,1000,23,997.7586446760355,8.988743092740771
1,1000,23,994.6790504078028,5.909148824508042
1,1000,23,996.422030433575,7.65212885028026
1,1000,23,994.5447455339585,5.774843950663726
1,1000,23,997.7506286781177,8.980727094822962
1,1000,23,994.1791619630587,5.409260379763942
1,1000,23,996.396628815599,7.626727232304216
1,1000,23,996.5224999892522,7.562656216780788
1,1000,23,998.3044762999656,9.34463252749422
1,1000,23,995.0428741643526,6.083030391881188
1,1000,23,998.5868606200755,9.627016847604104
1,1000,23,995.3301542849771,6.37031051250573
1,1000,23,997.819286452079,8.859442679607607
1,1000,23,996.2917409124746,7.331897140003196
1,1000,23,996.6799585639055,7.720114791434171
1,1000,23,995.1190979574598,6.159254184988292
1,1000,23,997.940702478088,8.980858705616656
1,1000,23,995.9019638330388,6.942120060567451
1,1000,23,997.294764591735,8.334920819263544
1,1000,23,997.5641603543737,12.463299628540735
1,1000,23,998.7199791406968,13.619118414863774
1,1000,23,995.7437989090831,10.642938183250129
1,1000,23,999.3856348703563,14.28477414452325
1,1000,23,995.7278773094322,10.627016583599236
1,1000,23,999.3539055104222,14.25304478458921
1,1000,23,995.3402091016051,10.239348375772067
1,1000,23,999.696509274796,14.595648548963041
1,1000,23,995.4591338448278,10.358273118994825
1,1000,23,999.9107551008921,14.809894375059091
1,1000,23,995.3747107687004,10.273850042867462
1,1000,23,998.0949213278653,12.994060602032368
1,1000,23,997.1485971067697,6.56520377698203
1,1000,23,999.2551555847622,8.671762254974574
1,1000,23,995.9899598628717,5.406566533084092
1,1000,23,998.7094587674309,8.126065437643248
1,1000,23,996.151437949646,5.568044619858365
1,1000,23,997.3135877711171,6.730194441329522
